entity,year,access_to_electricity__of_population,access_to_clean_fuels_for_cooking,renewableelectricitygeneratingcapacitypercapita,financial_flows_to_developing_countries_us_,renewable_energy_share_in_the_total_final_energy_consumption_,electricity_from_fossil_fuels_twh,electricity_from_nuclear_twh,electricity_from_renewables_twh,lowcarbon_electricity__electricity,primary_energy_consumption_per_capita_kwhperson,energy_intensity_level_of_primary_energy_mj2017_ppp_gdp,value_co2_emissions_kt_by_country,renewables__equivalent_primary_energy,gdp_growth,gdp_per_capita,densitynpkm2,land_areakm2,latitude,longitude
Austria,2020,100.0,100.0,,,,13.77,0.0,55.42,80.098274,45028.27,,,38.26067,-6.734514076,48586.80132,109,83871.0,47.516231,14.550072
Belgium,2020,100.0,100.0,,,,30.0,34.43,23.46,65.866425,57433.73,,,10.637791,-5.65965987,45159.34822,383,30528.0,50.503887,4.469936
Bulgaria,2020,99.7,,,,,16.12,16.63,7.47,59.920437,27993.87,,,10.692997,-4.387149834,10079.20338,64,110879.0,42.733883,25.48583
Croatia,2020,100.0,100.0,,,,4.69,0.0,8.55,64.57704,22304.447,,,25.170088,-8.099761252,14134.16268,73,56594.0,45.1,15.2
Cyprus,2020,100.0,100.0,,,,4.25,0.0,0.6,12.371135,22852.852,,,5.661981,-5.2289881,27527.84531,131,9251.0,35.126413,33.429859
Czech Republic,2020,100.0,100.0,,,,39.72,30.04,10.39,50.442917,42025.31,,,6.691049,,,136,78871.0,49.817492,15.472962
Denmark,2020,100.0,100.0,,,,5.28,0.0,23.45,81.622,29380.422,,,37.272453,-2.062124959,61063.31643,137,43094.0,56.26392,9.501785
Estonia,2020,100.0,100.0,,,,3.11,0.0,2.97,48.848686,44218.28,,,14.138368,-2.951069313,23027.027,31,45228.0,58.595272,25.013607
Finland,2020,100.0,100.0,,,,9.82,23.29,35.93,85.77636,56636.78,,,33.16851,-2.800135891,48744.98813,18,338145.0,61.92411,25.748151
France,2020,100.0,100.0,,,,48.14,353.83,125.28,90.869606,38063.406,,,14.788747,-7.855256037,39030.36037,119,643801.0,46.227638,2.213749
Germany,2020,100.0,100.0,,,,251.4,64.38,251.48,55.681694,41377.68,,,21.122828,-4.569616717,46208.42947,240,357022.0,51.165691,10.451526
Greece,2020,100.0,100.0,,,,30.61,0.0,17.55,36.44103,26343.523,,,16.707697,-9.019129085,17622.541,81,131957.0,39.074208,21.824312
Hungary,2020,100.0,100.0,,,,13.2,16.06,5.52,62.047157,27724.254,,,5.8162417,-4.675686993,15980.74089,107,93028.0,47.162494,19.503304
Ireland,2020,100.0,100.0,,,,18.51,0.0,13.46,42.10197,35630.062,,,20.549843,5.866975509,85267.76474,73,84421.0,53.41291,-8.24389
Italy,2020,100.0,100.0,,,,161.17,0.0,116.9,42.039772,27763.8,,,19.721262,-8.9385925,31714.22095,206,301340.0,41.87194,12.56738
Latvia,2020,100.0,100.0,,,,2.08,0.0,3.64,63.636368,21535.734,,,24.768972,-3.618565992,17726.25294,30,64589.0,56.879635,24.603189
Lithuania,2020,100.0,100.0,,,,1.96,0.0,2.57,56.73289,24924.742,,,10.144763,-0.132431461,20233.64135,43,65300.0,55.169438,23.881275
Luxembourg,2020,100.0,100.0,,,,0.25,0.0,0.97,79.508194,64241.79,,,6.848767,-1.776240229,116014.6025,242,2586.0,49.815273,6.129583
Malta,2020,100.0,100.0,,,,1.9,0.0,0.25,11.627907,72065.46,,,,-7.001129615,27884.64283,"1,380",316.0,35.937496,14.375416
Netherlands,2020,100.0,100.0,,,,85.95,4.09,32.75,30.002443,56705.54,,,10.758958,-3.798635993,52397.11671,508,41543.0,52.132633,5.291266
Poland,2020,100.0,100.0,,,,128.91,0.0,28.23,17.964872,29514.133,,,7.769742,-2.540658682,15720.99466,124,312685.0,51.919438,19.145136
Portugal,2020,100.0,100.0,,,,21.43,0.0,30.11,58.420643,25782.078,,,31.723911,-8.442456428,22176.29671,111,92212.0,39.399872,-8.224454
Romania,2020,100.0,87.7,,,,19.54,11.47,24.61,64.86876,18998.812,,,17.57964,-3.930454057,12896.08862,84,238391.0,45.943161,24.96676
Slovakia,2020,100.0,100.0,,,,6.22,15.44,6.85,78.18309,33193.33,,,10.48076,,,114,49035.0,48.669026,19.699024
Slovenia,2020,100.0,100.0,,,,4.96,6.35,5.58,70.633514,36542.867,,,19.160215,-4.229261389,25517.33067,103,20273.0,46.151241,14.995463
Spain,2020,100.0,100.0,,,,87.64,58.3,113.79,66.25726,30391.29,,,22.102654,-10.82288649,27063.19392,94,505370.0,40.463667,-3.74922
Sweden,2020,100.0,100.0,,,,2.44,49.2,112.15,98.5103,59395.523,,,51.05897,-2.948127879,52274.40879,25,450295.0,60.128161,18.643501
