country,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,7.587,7.509,7.493999958,7.487,7.48,7.559899807,7.571,7.512,7.24
Iceland,7.561,7.501,7.504000187,7.495,7.494,7.504499912,7.554,7.557,7.53
Denmark,7.527,7.526,7.521999836,7.555,7.6,7.645599842,7.62,7.636,7.586
Norway,7.522,7.498,7.537000179,7.594,7.554,7.487999916,7.392,7.365,7.315
Canada,7.427,7.404,7.315999985,7.328,7.278,7.23210001,7.103,7.025,6.961
Finland,7.406,7.413,7.468999863,7.632,7.769,7.808700085,7.842,7.821,7.804
Netherlands,7.378,7.339,7.376999855,7.441,7.488,7.448900223,7.464,7.415,7.403
Sweden,7.364,7.291,7.28399992,7.314,7.343,7.353499889,7.363,7.384,7.395
New Zealand,7.286,7.334,7.31400013,7.324,7.307,7.299600124,7.277,7.2,7.123
Australia,7.284,7.313,7.28399992,7.272,7.228,7.222799778,7.183,7.162,7.095
Israel,7.278,7.267,7.212999821,6.814,7.139,7.128600121,7.157,7.364,7.473
Costa Rica,7.226,7.087,7.078999996,7.072,7.167,7.121399879,7.069,6.582,6.609
Austria,7.2,7.119,7.006000042,7.139,7.246,7.294199944,7.268,7.163,7.097
Mexico,7.187,6.778,6.578000069,6.488,6.595,6.465000153,6.317,6.128,6.33
United States,7.119,7.104,6.993000031,6.886,6.892,6.939599991,6.951,6.977,6.894
Brazil,6.983,6.952,6.635000229,6.419,6.3,6.375599861,6.33,6.293,6.125
Luxembourg,6.946,6.871,6.862999916,6.91,7.09,7.237500191,7.324,7.404,7.228
Ireland,6.94,6.907,6.977000237,6.977,7.021,7.093699932,7.085,7.041,6.911
Belgium,6.937,6.929,6.890999794,6.927,6.923,6.863500118,6.834,6.805,6.859
United Arab Emirates,6.901,6.573,6.647999763,6.774,6.825,6.790800095,6.561,6.576,6.571
United Kingdom,6.867,6.725,6.714000225,7.19,7.054,7.164500237,7.064,6.943,6.796
Oman,6.853,,,,,,,,
Venezuela,6.81,6.084,5.25,4.806,4.707,5.053199768,4.892,4.925,5.211
Singapore,6.798,6.739,6.572000027,6.343,6.262,6.377099991,6.377,6.48,6.587
Panama,6.786,6.701,6.452000141,6.43,6.321,6.304800034,6.18,6.309,6.265
Germany,6.75,6.994,6.951000214,6.965,6.985,7.075799942,7.155,7.034,6.892
Chile,6.67,6.705,6.65199995,6.476,6.444,6.228499889,6.172,6.172,6.334
Qatar,6.611,6.375,6.375,6.374,6.374,,,,
France,6.575,6.478,6.441999912,6.489,6.592,6.663799763,6.69,6.687,6.661
Argentina,6.574,6.65,6.598999977,6.388,6.086,5.974699974,5.929,5.967,6.024
Czech Republic,6.505,6.596,6.609000206,6.711,6.852,6.910900116,6.965,,
Uruguay,6.485,6.545,6.453999996,6.379,6.293,6.440100193,6.431,6.474,6.494
Colombia,6.477,6.481,6.356999874,6.26,6.125,6.163400173,6.012,5.781,5.63
Thailand,6.455,6.474,6.423999786,6.072,6.008,5.998799801,5.985,5.891,5.843
Saudi Arabia,6.411,6.379,6.343999863,6.371,6.375,6.406499863,6.494,6.523,6.463
Spain,6.329,6.361,6.402999878,6.31,6.354,6.400899887,6.491,6.476,6.436
Malta,6.302,6.488,6.52699995,6.627,6.726,6.772799969,6.602,6.447,6.3
Taiwan Province of China,6.298,6.379,6.421999931,6.441,6.446,6.45539999,6.584,6.512,6.535
Kuwait,6.295,6.239,6.105000019,6.083,6.021,6.102099895,6.106,6.106,
Suriname,6.269,6.269,,,,,,,
Trinidad and Tobago,6.168,6.168,6.168000221,6.192,6.192,6.191899776,,,
El Salvador,6.13,6.068,6.002999783,6.167,6.253,6.34829998,6.061,6.12,6.122
Guatemala,6.123,6.324,6.453999996,6.382,6.436,6.398900032,6.435,6.262,6.15
Uzbekistan,6.003,5.987,5.971000195,6.096,6.174,6.257599831,6.179,6.063,6.014
Slovakia,5.995,6.078,6.09800005,6.173,6.198,6.280600071,6.331,6.391,6.469
Japan,5.987,5.921,5.920000076,5.915,5.886,5.870800018,5.94,6.039,6.129
South Korea,5.984,5.835,5.837999821,5.875,5.895,5.872399807,5.845,5.935,5.951
Ecuador,5.975,5.976,6.007999897,5.973,6.028,5.925199986,5.764,5.533,5.559
Bahrain,5.96,6.218,6.086999893,6.105,6.199,6.227300167,6.647,6.647,6.173
Italy,5.948,5.977,5.964000225,6.0,6.223,6.38740015,6.483,6.467,6.405
Bolivia,5.89,5.822,5.822999954,5.752,5.779,5.747499943,5.716,5.6,5.684
Moldova,5.889,5.897,5.837999821,5.64,5.529,5.607500076,5.766,5.857,5.819
Paraguay,5.878,5.538,5.493000031,5.681,5.743,5.692100048,5.653,5.578,5.738
Kazakhstan,5.855,5.919,5.818999767,5.79,5.809,6.057899952,6.152,6.234,6.144
Slovenia,5.848,5.768,5.757999897,5.948,6.118,6.363399982,6.461,6.63,6.65
Lithuania,5.833,5.813,5.90199995,5.952,6.149,6.215499878,6.255,6.446,6.763
Nicaragua,5.828,5.992,6.071000099,6.141,6.105,6.13710022,5.972,6.165,6.259
Peru,5.824,5.743,5.715000153,5.663,5.697,5.796800137,5.84,5.559,5.526
Belarus,5.813,5.802,5.568999767,5.483,5.323,5.539899826,5.534,5.821,
Poland,5.791,5.835,5.97300005,6.123,6.182,6.186299801,6.166,6.123,6.26
Malaysia,5.77,6.005,6.084000111,6.322,5.339,5.384300232,5.384,5.711,6.012
Croatia,5.759,5.488,5.293000221,5.321,5.432,5.504700184,5.882,6.125,6.125
Libya,5.754,5.615,5.525000095,5.566,5.525,5.488800049,5.41,5.33,
Russia,5.716,5.856,5.962999821,5.81,5.648,5.546000004,5.477,5.459,5.661
